tcg_type,card_series,card_index,card_name,card_rarity,price_yuyutei,url_yuyutei
PTCG,s12a,173/172,ヒスイビリリダマ,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10262
PTCG,s12a,174/172,コロトック,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10263
PTCG,s12a,175/172,ブーバーン,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10264
PTCG,s12a,176/172,オドリドリ,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10265
PTCG,s12a,177/172,ラプラス,AR,980,https://yuyu-tei.jp/sell/poc/card/s12a/10266
PTCG,s12a,178/172,マナフィ,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10267
PTCG,s12a,179/172,ケルディオ,AR,680,https://yuyu-tei.jp/sell/poc/card/s12a/10268
PTCG,s12a,180/172,エレキブル,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10269
PTCG,s12a,181/172,ストリンダー,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10270
PTCG,s12a,182/172,ガラルフリーザー,AR,680,https://yuyu-tei.jp/sell/poc/card/s12a/10271
PTCG,s12a,183/172,ミュウ,AR,6980,https://yuyu-tei.jp/sell/poc/card/s12a/10272
PTCG,s12a,184/172,ルナトーン,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10273
PTCG,s12a,185/172,デオキシス,AR,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10274
PTCG,s12a,186/172,ディアンシー,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10275
PTCG,s12a,187/172,キュワワー,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10276
PTCG,s12a,188/172,ガラルサンダー,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10277
PTCG,s12a,189/172,ソルロック,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10278
PTCG,s12a,190/172,ガラルファイヤー,AR,1780,https://yuyu-tei.jp/sell/poc/card/s12a/10279
PTCG,s12a,191/172,アブソル,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10280
PTCG,s12a,192/172,フォクスライ,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10281
PTCG,s12a,193/172,ジバコイル,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10282
PTCG,s12a,194/172,チルタリス,AR,500,https://yuyu-tei.jp/sell/poc/card/s12a/10283
PTCG,s12a,195/172,ラティアス,AR,1780,https://yuyu-tei.jp/sell/poc/card/s12a/10284
PTCG,s12a,196/172,ヒスイヌメルゴン,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10285
PTCG,s12a,197/172,メタモン,AR,680,https://yuyu-tei.jp/sell/poc/card/s12a/10286
PTCG,s12a,198/172,ノコッチ,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10287
PTCG,s12a,199/172,ミルタンク,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10288
PTCG,s12a,200/172,ビーダル,AR,420,https://yuyu-tei.jp/sell/poc/card/s12a/10289
PTCG,s12a,201/172,リオル,AR,2980,https://yuyu-tei.jp/sell/poc/card/s12a/10290
PTCG,s12a,202/172,チルット,AR,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10291
PTCG,s12a,203/172,ヨマワル,AR,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10292
PTCG,s12a,204/172,ビッパ,AR,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10293
PTCG,s12a,205/172,ピカチュウ,AR,49800,https://yuyu-tei.jp/sell/poc/card/s12a/10294
PTCG,s12a,206/172,ナエトル,AR,1780,https://yuyu-tei.jp/sell/poc/card/s12a/10295
PTCG,s12a,207/172,パラス,AR,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10296
PTCG,s12a,208/172,ポチエナ,AR,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10297
PTCG,s12a,209/172,メリープ,AR,1780,https://yuyu-tei.jp/sell/poc/card/s12a/10298
PTCG,s12a,210/172,リーフィアVSTAR,SAR,7980,https://yuyu-tei.jp/sell/poc/card/s12a/10299
PTCG,s12a,211/172,リザードンV,SAR,9980,https://yuyu-tei.jp/sell/poc/card/s12a/10300
PTCG,s12a,212/172,リザードンVSTAR,SAR,19800,https://yuyu-tei.jp/sell/poc/card/s12a/10301
PTCG,s12a,213/172,エンテイV,SAR,5980,https://yuyu-tei.jp/sell/poc/card/s12a/10302
PTCG,s12a,214/172,バオッキーVSTAR,SAR,4480,https://yuyu-tei.jp/sell/poc/card/s12a/10303
PTCG,s12a,215/172,スイクンV,SAR,6980,https://yuyu-tei.jp/sell/poc/card/s12a/10304
PTCG,s12a,216/172,ネオラントV,SAR,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10305
